ID;USER;POST
1312773806944120832;DivaDepressao;RT @bitucaaaa: Savage X Fenty Vol. 2 (2020) https://t.co/5klIYchEjz
1312755663114731520;DivaDepressao;@PortalTracklist Be the One ❤️
1312741846888656903;DivaDepressao;@jornalextra @nathfinancas arrasando!!
1312732448871063560;DivaDepressao;RT @Josexxcs: @DivaDepressao O cara do lado tentando pegar o papel e p e eu dançando kkkkkkkk https://t.co/QLGgXQJsXt
1312731478657314817;DivaDepressao;RT @que_isso_joao: Algum problema com o meu voto? #AmongUs https://t.co/woNvbBllyn
1312617378577035266;DivaDepressao;Hahaahahahaha https://t.co/dQ21i2Imbc
1312530168783663104;DivaDepressao;RT @Don_naQueen: @DivaDepressao que essa fofoca vire rotina! Obrigada, meninos!!!! Meu dia estava péssimo até vcs chegarem! https://t.co/wg…
1312514758290014208;DivaDepressao;Ahahahahahah https://t.co/hWUyB3nAfm
1312514758290014208;DivaDepressao;Ahahahahahah https://t.co/hWUyB3nAfm
1312514717190037504;DivaDepressao;RT @hugocoelho01: A amiga dos meninos do @DivaDepressao saindo da casa da namorada com o cocô na bolsa @FilhosDaGravida https://t.co/ouvjlo…
1312514696793092097;DivaDepressao;RT @affectdiva: Essa tarde os meninos fizeram uma live tomando café e conversando com a gente já q n teve vídeo hj e eu simplismente amei,…
1312514664857657344;DivaDepressao;RT @DedicoDiva: Foi tão gostosinho tomar um cafezin com vcs, obrigada por essa live descontraída (e bem de tia KKKKKKKKKK). Amo vocês @Diva…
1312514650383118337;DivaDepressao;RT @eleoMarcelo: @DivaDepressao  Fih falando do rato no encanamento no podcast, eu imaginando: https://t.co/cpiZPbUAIy
1312514625468944384;DivaDepressao;RT @jessiharita: eu me senti em casa com esse café maravilhoso @DivaDepressao ❤️☕ https://t.co/gANNTzuqRW
1312514597069365248;DivaDepressao;RT @LiaCorazzari: @DivaDepressao @Lorelay_Fox achei as máscaras pro meu trio chiclas que chicle! https://t.co/axI2DHA5GB
1312514571727323136;DivaDepressao;"RT @xcahsilva: Ouvindo o episódio novo de @FilhosDaGravida sobre cocô enquanto cago. Melhor momento.
@DivaDepressao @mairamedeiros"
1312514532799987714;DivaDepressao;RT @bruh_altero: não sei mais que dia da quarentena: meus pais estão tomando café da tarde assistindo live da @DivaDepressao hahahaha muito…
1312514503829942272;DivaDepressao;@marimaaravilha @FilhosDaGravida @mairamedeiros Ahh que bafoooo
1312514462453170177;DivaDepressao;RT @marimaaravilha: ouvindo @FilhosDaGravida falando sobre cartas e que é uma coisa tão antiga aaaaaaa me notem por favor, eu tenho um club…
1312417423669198848;DivaDepressao;RT @Barbosa_Leandro: A perspectiva de futuro do governo. https://t.co/fzD782sA8c
1312388545018056705;DivaDepressao;RT @gioewbank: Amoooressss do Giooooh, olha quem voltou a brilhar no canal!!! Meus maravilhosos do @DivaDepressao 💗💗💗 e agora eles tão anal…
1312172699242786817;DivaDepressao;RT @tati_torres91: @DivaDepressao  virou conversa entre mim e a minha prima onde amamos esses dois. ♥️🤗 https://t.co/TXeclACbtA
1312172603881123840;DivaDepressao;RT @carolinnealm: Vê isso e só consigo imaginar um vídeo dos meninos eu gritando de tanto de rir. Não é mesmo @DivaDepressao
1312115034944798720;DivaDepressao;"RT @JesusIan6: Ver @DivaDepressao e procurar o 
easter egg da Sonia Abrão..."
1312114882892840960;DivaDepressao;RT @pocsingular: Eu bem pleno assistindo, multantes pois ainda não superei a análise do @DivaDepressao hdhdhdjdj https://t.co/wdo0fkK1Qo
1311859385367494656;DivaDepressao;RT @meioemensagem: O @DivaDepressao conversou com representantes do @YouTubeBrasil, @RenaultBrasil e @agenciadpzt sobre eficiência criativa…
1311858762102255616;DivaDepressao;@luishenriqque Haahahahahhaah
1311858682213392384;DivaDepressao;RT @PrincesaD0Senho: @DivaDepressao faz um serviço perfeito narrando as tretas de A Fazenda, praticamente uma utilidade pública. Eu nem ass…
1311858682213392384;DivaDepressao;RT @PrincesaD0Senho: @DivaDepressao faz um serviço perfeito narrando as tretas de A Fazenda, praticamente uma utilidade pública. Eu nem ass…
1311845142857494528;DivaDepressao;"RT @JornadaAnimada: Saí desse vídeo pensando: @DivaDepressao, precisamos fazer um abaixo-assinado pra salvar o #CristalEncantado ❤️🙏❤️

htt…"
1311845078298746880;DivaDepressao;Hahahhhaa https://t.co/I0zXCuwt0X
1311845022065733632;DivaDepressao;RT @Kowalczikovska: Não assisto a fazenda, só vejo os review's do @DivaDepressao e tenho certeza que a vencedora da fazenda é a jojolittlet…
1311844931833679889;DivaDepressao;Nephew ☺️ https://t.co/1GMMrEJGAg
1311844817547276290;DivaDepressao;RT @_FernandaT: Vendo os vídeos do @DivaDepressao pra me atualiza das tretas da fazenda com a @karoltdll https://t.co/Mosxn23Pdn
1311765771773784065;DivaDepressao;TÁ CANCELADO! Calma, não é cancelamento na internet e sim de séries! Uma das nossas favoritas não foi renovada e nós resolvemos protestar com uma lista de outras séries amadas pelo público que também foram injustiçadas na hora da renovação: https://t.co/SNA2q2Adu6! Muda, Brasil! https://t.co/mecKxwZ9uf
1311411403178336262;DivaDepressao;RT @vaidesmaiar: Pra quem nao entendeu a Jojo gritando aquele dia com os folgados ela explicou de forma bem didática: #AFazenda12 https://t…
1311409687745748993;DivaDepressao;RT @TeIevizona: A gata que nunca desisti do amor https://t.co/QJMv5tPpqU
1311397038643392513;DivaDepressao;Palavrão ao vivo, gente jogando creme na cara do outro, gente descontando raiva em objetos... esse é o resumo do que rolou nos últimos dias em A Fazenda 12! A gente explica como toda essa treta épica começou e analisamos os melhores momentos do que rolou: https://t.co/B2QIN6IuyG! https://t.co/BA4gwu3cY4
1311389028923707399;DivaDepressao;"RT @affectdiva: Está tendo votação para o Prêmio ibest 2020  e os @FilhosDaGravida então concorrendo na categoria ""podcast"" 🥰❤
Votem quanta…"
1311388924602970120;DivaDepressao;Ahhhhhhhh https://t.co/DRqg2Ff8bj
1311375835488804864;DivaDepressao;RT @RNavyBrazil: Vc sabia? Em artigo recentemente publicado pela 'NASA', foi constatado que o coro do show da Rihanna no @RockInRio 2015 fo…
1311370703556534272;DivaDepressao;RT @lipexausto: E a colher-de-pau protagonista da #AFazenda12 descansando no quarto ainda. https://t.co/5WIICtLmPm
1311369574185664512;DivaDepressao;Vai sair hoje ☺️ https://t.co/SIZFWJO73D
1311369520905416705;DivaDepressao;RT @Marques_pov: Fazendo projeto de louças e metais de um cliente quando lembro do Edu do @DivaDepressao pq li Dona Ducha HAHAHAHBABA cuida…
1311369473069387776;DivaDepressao;RT @ratonica_: she was a punk                he did ballet https://t.co/AFfbx1NX8g
1311333490928033793;DivaDepressao;Same energy: #AFazenda https://t.co/Q0FJMY96Sv
1311311756426457093;DivaDepressao;"RT @Paola_Gessy: O vídeo dos meninos do nostaldiva @DivaDepressao sobre mulheres ricas PRECISA AGORA DE UM PARTE 2. 
PRECISO!!!!!!! https:/…"
1311309026320318465;DivaDepressao;RT @mixchas: os meninos do @DivaDepressao nem terminam um vídeo da fazenda e já tem mil tretas novas kkkkkkkk
1311309026320318465;DivaDepressao;RT @mixchas: os meninos do @DivaDepressao nem terminam um vídeo da fazenda e já tem mil tretas novas kkkkkkkk
1311159812491796480;DivaDepressao;RT @jojotodynhoofc: Permaneça forte, Jojo! Chora mesmo, isso não é sinal de fraqueza. Conhecemos sua história e teu coração, estamos com vo…
1311159214396628993;DivaDepressao;RT @Tdetravesti: Jojo cresceu e viveu no perrengue. Ela mesma disse que tudo que aprendeu foi apanhando. Jojo não é louca por ter colocado…
1311156722883584000;DivaDepressao;"RT @afzdchernobyl: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

No meio do surto coletivo entre a Raissa e Juliano a Mirella pega o Machado pra defender a amiga do macho…"
